Error,File,Start Line,End Line
No categories in topic,../../storage/categories/star.aiml,796,882
No categories in topic,../../storage/categories/star.aiml,883,898
No categories in topic,../../storage/categories/professor/professor.update021.aiml,8158,8163
No categories in topic,../../storage/categories/professor/professor.update109.aiml,8498,8616
No categories in topic,../../storage/categories/professor/professor.update109.aiml,25441,25568
No categories in topic,../../storage/categories/professor/professor.update109.aiml,26840,26971
No categories in topic,../../storage/categories/professor/professor.update109.aiml,34350,34507
No categories in topic,../../storage/categories/professor/professor.update109.aiml,34510,34671
No categories in topic,../../storage/categories/professor/professor.update083.aiml,349,461
No categories in topic,../../storage/categories/professor/professor.update113.aiml,1943,1948
No categories in topic,../../storage/categories/professor/professor.update113.aiml,7646,7789
No categories in topic,../../storage/categories/professor/professor.update113.aiml,7792,7939
No categories in topic,../../storage/categories/professor/professor.update017.aiml,6328,6333
No categories in topic,../../storage/categories/professor/professor.update104.aiml,28949,29065
No categories in topic,../../storage/categories/professor/professor.update041.aiml,19882,19887
No categories in topic,../../storage/categories/professor/professor.update082.aiml,23845,23937
No categories in topic,../../storage/categories/professor/professor.update108.aiml,1239,1362
No categories in topic,../../storage/categories/professor/professor.update124.aiml,92,191
No categories in topic,../../storage/categories/professor/professor.update085.aiml,3135,3228
No categories in topic,../../storage/categories/professor/professor.update085.aiml,3233,3335
No categories in topic,../../storage/categories/professor/professor.update115.aiml,3822,3827
No categories in topic,../../storage/categories/professor/professor.update115.aiml,26777,26782
No categories in topic,../../storage/categories/professor/professor.update011.aiml,19099,19108
No categories in topic,../../storage/categories/professor/professor.update103.aiml,3005,3010
No categories in topic,../../storage/categories/professor/professor.update103.aiml,12088,12195
No categories in topic,../../storage/categories/professor/professor.update031.aiml,15424,15429
No categories in topic,../../storage/categories/professor/professor.update123.aiml,27031,27036
No categories in topic,../../storage/categories/professor/professor.update123.aiml,27515,27520
No categories in topic,../../storage/categories/professor/professor.update123.aiml,27703,27708
No categories in topic,../../storage/categories/professor/professor.update123.aiml,27743,27748
No categories in topic,../../storage/categories/professor/professor.update123.aiml,27852,27867
No categories in topic,../../storage/categories/professor/professor.update123.aiml,28716,28721
No categories in topic,../../storage/categories/professor/professor.update123.aiml,28842,28847
No categories in topic,../../storage/categories/professor/professor.update123.aiml,28924,28929
